company_name,website_url,business_description,main_products_services,talent_values,ceo_message,crawl_success,error
WEVERSE COMPANY,https://weverse.co,"위버스컴퍼니는 고객 경험의 확장을 통해 팬 경험의 혁신을 추구하며, 팬과 아티스트가 더 가깝게 연결되는 세상을 만듭니다. 다양한 플랫폼과 서비스를 통해 팬들에게 즐거운 경험을 제공합니다.",Weverse|Weverse Shop|Weverse Albums|Weverse Magazine,,,True,
iRT,http://www.subwaytheater.com,,,,,False,페이지 크롤링 실패
kt ds University,https://www.jobkorea.co.kr,,,,,True,
m114,http://www.m114.co.kr,엠일일사는 많은 경험과 젊은 패기를 바탕으로 한 인터넷 전문 기업입니다. 높은 품질의 제품과 서비스를 제공하여 혁신을 이루고 위험을 낮추며 자기 성장의 기회를 보장합니다.,인터넷 전문 서비스|고객 관리 및 마케팅 서비스,미래를 이끌어 갈 열정과 도전정신 넘치는 인재,,True,
가람아이티,https://www.garamit.co.kr,"가람아이티는 스마트한 솔루션을 제공하며, 성공적인 비즈니스를 위한 최고의 파트너로서 혁신적인 기술을 통해 내일을 준비합니다.",Frontend Experience|Backend & API|AI & Data Insight|UI/UX Design,,,True,
가온소프트랩,https://www.kaonsoft.com,"가온소프트랩은 B2B 시스템 구축 및 SaaS 전문 기업으로, 다양한 산업군에 최적화된 기술을 제공하며, AI 기반 SW 개발 및 모바일 솔루션을 공급합니다.",SaaS 협력사 포털 메타비드|AI 기반 SW 개발 생애 관리 솔루션 메타데브,상호간의 예의,위대한 일을 하는 소프트웨어 기업이 되기 위해 계속 나아가겠습니다.,True,
가치플레이,https://re.valuesplay.com,"가치플레이는 UI/Backend Framework, 다양한 IT 솔루션, 플랫폼 기술, OSS 컨설팅 및 SI/SM 서비스를 통해 더 나은 디지털 경험과 가치를 제공하기 위해 노력하는 국내 최고의 IT 기업입니다.",UI/Backend Framework|OSS 컨설팅,"고객 중심의 혁신, 신뢰할 수 있는 기술 제공, 함께 성장하는 파트너십",2026년에도 고객과 함께 만들어갈 새로운 가치를 약속드립니다.,True,
갤럭시아머니트리,https://www.galaxiamoneytree.co.kr,"갤럭시아머니트리는 전자결제, O2O 비즈니스 및 플랫폼 사업을 영위하며, 국내 최초로 모바일 백화점 상품권을 선보이고 전국 편의점 기반 결제 서비스를 제공합니다. 또한, 포인트, 상품권, 쿠폰 등을 교환할 수 있는 머니트리 앱과 머니트리카드를 통해 혁신적인 결제 환경을 제공합니다.",전자결제 솔루션|모바일 상품권/쿠폰,,"갤럭시아머니트리는 통합전자결제 솔루션 원천기술력과 모바일 기프트, 편의점 결제 서비스를 중심으로 생활금융플랫폼인 '머니트리'를 런칭하여 핀테크 사업영역을 확장하고 있습니다. 또한, 빅데이터와 블록체인 산업으로 밸류체인을 확대하여 4차 산업의 새로운 시장을 여는 변화의 구심점이 될 것입니다.",True,
고고에프앤디,https://gogofnd.co.kr,"고고에프앤디는 IoT 기반 인슈어테크 솔루션을 제공하며, 라이더의 안전을 위한 데이터 기반 AI 안전운전 솔루션과 올인원 딜리버리 플랫폼을 개발하고 있습니다. 또한, 업계 최초로 배달대행 시간제 보험을 개발하고 있습니다.",고고세이프 DATA 기반 AI 안전운전 솔루션|고고라이더스 올인원 딜리버리 플랫폼,,,True,
골드앤에스,https://www.goldns.co.kr,"골드앤에스는 교육을 중심으로 다양한 분야에서 지속 가능한 가치를 만들어가는 기업입니다. AI 기술을 활용한 개인 맞춤형 학습 솔루션과 통합 영어 시험 대비 플랫폼을 운영하며, 글로벌 소통 역량을 확장하는 다양한 언어 교육을 제공합니다.",개인 맞춤형 학습 솔루션|통합 영어 시험 대비 플랫폼,"고객의 만족, 주주 이익중심의 본원적 경쟁력 강화, 책임 있는 조직문화 조성, 선한 영향력으로 이어지는 성장","CEO 양홍걸은 고객의 만족과 주주 이익을 최우선으로 하여 본원적 경쟁력을 강화하고, 목표 달성을 위한 책임 있는 조직문화를 조성하며, 우리의 성장이 세상에 선한 영향력으로 이어지도록 미래를 만들어가겠다고 강조합니다.",True,
골프존커머스,https://www.golfzoncommerce.com,"㈜골프존커머스는 전문성을 기반으로 골퍼에게 더 많은 혜택을 드리기 위해 부단히 노력하고 있으며, 골프유통 No.1 기업으로 다양한 골프 토털 서비스를 제공하고 있습니다.",골프 유통|스크린골프,"진지 한 행동과 결정, 진정 한 마음 가짐 그리고 진솔한 배려를 갖춘 인재","골프존그룹은 창조와 모험, 도전의 벤처정신으로 골프존커머스의 유통사업을 포함하여 다양한 골프 서비스를 제공하고 있으며, 고객의 요구에 맞춰 지속적으로 노력하겠습니다.",True,
공감데이터,https://www.empathydata.co.kr,"㈜공감데이터는 국내 최고의 데이터 전문가 그룹으로 고객의 생각과 가치를 공유하고 혁신하는 기업입니다. 주요 사업은 데이터 개방·품질, 데이터 거버넌스 체계 및 모델링, 빅데이터 컨설팅 및 분석 등 데이터 전문 기업입니다.",공공데이터 컨설팅|빅데이터 컨설팅,,,True,
교림소프트,https://kangso.co.kr,,,,,True,
교보자산신탁,https://fine.fss.or.kr,"교보자산신탁은 금융소비자 포털인 파인(FINE)을 통해 금융상품 정보, 금융회사 정보, 금융자문 서비스 등을 제공하며, 소비자 보호와 금융 교육에 중점을 두고 있습니다.",금융상품 정보|금융회사 정보|금융자문 서비스,,,True,
구름,https://www.instagram.com,,,,,True,
굿씽크,https://www.gdthink.co.kr,,,,,False,페이지 크롤링 실패
그라비티,https://www.gravity.co.kr,"그라비티는 지속적인 게임개발 및 투자를 통해 국내를 넘어 글로벌 시장에서 성공적인 성장을 이뤄내고 있습니다. 원소스 멀티유즈 전략으로 게임을 기반으로 한 콘텐츠 사업을 전개하며, 다양한 게임 콘텐츠를 개발하고 있습니다.",게임 개발|퍼블리싱|웹툰 제작|머천다이징|골프 시뮬레이터,,,True,
그랩록,https://www.jobkorea.co.kr,,,,,True,
그린잇,https://greenit.kr,그린잇은 의약품을 안전하게 전달하기 위해 콜드체인 배송과 전문 PM 관리 서비스를 제공하는 전문 이커머스 플랫폼입니다. 합리적인 가격으로 믿을 수 있는 최저가 상품을 공식 유통망을 통해 제공합니다.,콜드체인 배송|전문 PM 관리,,,True,
글로벌인,https://www.globalin.kr,글로벌인은 국비지원 일본취업 및 일본취업교육을 전문으로 하는 기업입니다. 일본 IT 및 호텔 분야의 일자리 확보형 전액 국비 취업교육을 제공합니다.,일본 IT 취업교육|일본 호텔 취업교육,,,True,
기어세컨드,https://gear2.net,"기어세컨드는 최고의 게임을 만들기 위해 열정적인 팀원들이 모여 창의적인 아이디어를 연결하여 게임을 개발하는 회사입니다. 현재 50명의 팀원이 함께하며, 글로벌 사용자 1000만을 돌파한 게임을 보유하고 있습니다.",슬레이어 키우기|레츠고 레전드,"우리는 더 큰 감동, 더 큰 승리를 위해 이렇게 일합니다.",,True,
나날에스엠아이,http://www.nanalsmi.com,나날에스엠아이는 정부중앙부처와 공공기관의 SI(System Integration) 전문업체로서 우수한 기술력을 바탕으로 다양한 프로젝트의 성공적인 수행을 통해 지속적인 성장을 하고 있습니다. 고객지향적 서비스 구축 및 유지보수를 통해 고객의 요구를 충족하는 e-Business 시스템 구축에 선도적 역할을 하고 있습니다.,시스템 통합(SI)|시스템 운영관리(SM)|IT 컨설팅|DB 구축 및 정비|콜센터 구축 및 운영,"긍정적인 사고와 혁신, 열정과 도전정신, 인재중심 조직문화, 고객 중심의 가치 창조, 최고의 인재육성, 미래지향적인 사업역량 확보",,True,
나라원시스템,null,"㈜나라원시스템은 공공기관 홈페이지 구축·운영 및 시스템 통합(S.I.) 전문업체로서 시스템 개발, 홈페이지 제작, 인프라 구축 및 운영 등을 주요 사업으로 하고 있습니다. 20여년간 축적된 기술력과 우수한 인력을 활용하여 다양한 발주기관의 요구사항을 성공적으로 수행하고 있습니다.",홈페이지 구축 및 운영|시스템 개발 및 운영,null,null,True,
나루데이타,http://www.narudata.com,"나루데이타는 더 나은 내일을 만드는 기술을 연구하며, 금융, ICT, 솔루션 사업부문에서 AI, 빅데이터 중심의 기술 고도화를 통해 미래 핵심기술을 개발하고 있습니다.",금융권 이미지 시스템 구축|전문 보안 솔루션,"사람 존중, 혁신 정신, 지혜로운 근성","나루데이타는 20년 역사와 100년 미래를 함께하며, 지속적인 혁신 기술력으로 고객과 파트너에게 더 큰 비전을 제시할 것을 약속합니다.",True,
나모웹비즈,http://www.namowebiz.com,"나모웹비즈는 다양한 IoT 및 AI 기반의 솔루션을 제공하며, 특히 AgTwin Simulator와 같은 혁신적인 제품을 통해 농업 및 산업 분야의 디지털 전환을 지원합니다. 또한, VR/AR/MR 기술을 활용한 몰입형 콘텐츠 시스템을 개발하여 고객의 경험을 향상시키고 있습니다.",AgTwin Simulator|Immersive Contents System,,,True,
나우정보기술,https://m.jobkorea.co.kr,,,,,True,
나이스인베스팅,http://www.niceinvesting.com,"NICE인베스팅은 다양한 투자 서비스를 제공하며, 고객의 자산을 안전하게 관리하고 성장시키기 위해 노력합니다. 또한, SNS와 다양한 채널을 통해 고객과 소통하며, 투자에 대한 정보를 제공합니다.",투자 서비스|자산 관리,,,True,
낙스넷,http://www.nacss.com,,,,,True,
내친구네트웍스,https://www.ncgn.co.kr,내친구네트웍스는 고객의 비지니스성공을 위한 전략을 제시하고 실행하는 파트너입니다. 오랜 기간 E-COMMERCE 구축 사업을 통해 쌓은 경험과 기술을 바탕으로 고객의 기대를 뛰어넘는 최고의 품질과 서비스를 제공합니다.,E-COMMERCE 구축|고객 맞춤형 솔루션 제공,,,True,
넛지헬스케어,https://cashwalk.com,넛지헬스케어는 건강 관리 및 피트니스 관련 제품과 서비스를 제공하는 기업입니다. 다양한 건강 관련 앱과 제품을 통해 고객의 건강 증진을 목표로 하고 있습니다.,건강 관리 앱|피트니스 관련 제품,,,True,
넥서스인프라,https://nexusable.net,"넥서스에이블은 네트워크 및 보안 인프라 전문가로서 고객의 비즈니스가 멈추지 않도록 최적의 인프라를 설계합니다. 네트워크 컨설팅부터 정보보안 솔루션 구축, 유지보수까지 전 과정을 함께합니다.",네트워크 컨설팅|정보보안 솔루션 구축,,,True,
넥스에스아이,https://www.nicebizinfo.com,"NICE평가정보㈜는 국내 최고의 종합신용정보회사로, 공공기관 및 민간기업 신용평가, 기술평가, 안전보건평가, ESG평가 등 다양한 평가 서비스를 제공합니다. 개인신용정보 및 기업신용정보 서비스를 제공하며, 금융산업의 신용인프라를 선도하는 기업입니다.",기업신용평가|NICE BizLINE,열정과 도전정신을 갖춘 인재,,True,
넥스트라인코드,http://nextlinecode.com,"넥스트라인코드는 다양한 서비스를 제공하는 기업입니다. 주요 고객으로는 한진택배와 대한항공이 있으며, 모바일 결제 모듈과 웹코믹스 등 다양한 프로젝트를 진행하고 있습니다.",모바일결제모듈|웹코믹스,,,True,
넥스트레벨스튜디오,https://nextlevelstudio.net,,,,,True,
넥스트빌더,https://www.youtube.com,,,,,True,
넥시큐어 시스템 테크놀로지,http://nexicure.co.kr,"넥시큐어시스템테크놀로지 주식회사는 IT 보안 전문가 구축, 컨설팅, 유지보수, 제품 개발까지 고객에게 수준 높은 서비스를 제공하며, 멀티 인증 시스템 N-MAS를 통해 보안성과 편의성을 보증하는 전사적 통합 인증 솔루션을 제공합니다.",N-MAS 멀티 인증 시스템|IT 보안 컨설팅,,고객의 경쟁력 강화를 최우선으로 합니다.,True,
넬슨씨엔씨,https://nelsoncnc.com,,,,,True,
넷마블,null,넷마블은 재미있는 게임으로 전세계 사람들에게 즐거움을 선사하며 글로벌 게임문화를 이끌어 나갑니다.,게임|글로벌사업,null,null,True,
노버스메이,https://www.novusmay.com,,,,,False,페이지 크롤링 실패
누리꿈소프트,https://www.nuriggum.com,"누리꿈소프트는 Bigdata, AI, Smart Factory, Cloud, Digital Transformation 분야에서 차별화된 기술력과 노하우로 최적의 솔루션을 제공합니다. 대용량 데이터의 수집, 분석, 예측을 통해 기업 경쟁력을 높이고, AI 기술을 융합하여 새로운 비즈니스 기회를 창출합니다.",SMART EYE|AVIGS|TAURUS|D’cube,,고성현 대표이사는 고객의 요구를 철저히 분석하고 혁신하여 최상의 경험 가치를 제공하는 비즈니스 장을 열어가겠다고 강조합니다.,True,
누리랩,https://www.nurilab.com,,,,,True,
누리어시스템,https://www.nurier.co.kr,,,,,True,
누리플렉스,https://www.nuriflex.co.kr,,,,,True,
뉴셀렉트,https://newselect.co.kr,"뉴셀렉트는 고객에게 아름다움과 건강의 새로운 경험을 제공하며, 과학으로 검증된 제품력과 섬세한 감도를 바탕으로 일상의 모든 순간에 의미 있는 변화를 만들어갑니다. 글로벌 No.1 커머스 그룹을 지향하며, 다양한 시장에서 성장하고 있습니다.",뷰티 제품|웰니스 제품,"뉴셀렉트는 감각을 존중하고 실행을 신뢰하며, 콘텐츠와 데이터로 함께 성장하는 사람을 기다립니다.",,True,
니즈게임즈,https://needsgames.com,,,,,True,
다다미디어,https://www.dadamedia.net,"다다미디어는 인터넷신문 제작 전문 기업으로, 쉽고 편한 인터넷신문 솔루션을 제공합니다. 20년 노하우를 바탕으로 다양한 템플릿 디자인과 원스톱 창간 서비스를 통해 고객의 요구에 맞춘 서비스를 제공합니다.",인터넷신문 제작 솔루션|뉴스 템플릿 디자인,,,True,
다모아솔루션,http://damoasolution.co.kr,다모아솔루션은 IT 서비스 및 BPO 분야에서 다양한 솔루션을 제공하는 기업입니다. 고객의 요구에 맞춘 IT 시스템 통합 및 아웃소싱 서비스를 통해 비즈니스 효율성을 극대화하는 것을 목표로 하고 있습니다.,IT 서비스|BPO 서비스,,,True,
다복메디칼,http://www.dabokmedical.com,"다복메디칼은 글로벌 바이오 시장의 미래를 새롭게 열어가는 의료기기 제조업체로, 해외 의료기기 및 건강기능식품, 의료관광 등 다양한 분야에서 활동하고 있습니다.",의료기기|건강기능식품,,다복메디칼은 도전적인 정신과 실행을 바탕으로 최적의 조건으로 글로벌 바이오 시장의 미래를 열어가는 기업입니다.,True,
다산소프트,https://www.dasansoft.com,,,,,True,
다온아이티에스,https://www.jobkorea.co.kr,,,,,True,
다올투자증권,https://www.daolsecurities.com,,,,,True,
다이퀘스트,https://www.diquest.com,,,,,False,페이지 크롤링 실패
다임즈,https://www.daims.co.kr,,,,,False,페이지 크롤링 실패
닥터소프트,https://www.doctorsoft.co.kr,닥터소프트는 기업용 통합 PC 관리 솔루션을 제공하는 소프트웨어 관리 전문 기업입니다. 고객사의 IT 자산 관리와 근로 관리 효율성을 높이기 위한 다양한 솔루션을 개발하고 있습니다.,넷클라이언트|PC-OFF|슬림시스템|넷클리닉|넷폴리시,,"닥터소프트는 고객 가치를 최우선으로 생각하며, 최고의 품질과 차별화된 서비스를 제공하기 위해 노력하고 있습니다.",True,
달콤소프트,https://www.facebook.com,,,,,False,페이지 크롤링 실패
대교에듀베이션,https://www.eduvation.co.kr,"대교에듀베이션은 교육 콘텐츠 및 서비스를 제공하는 기업으로, 다양한 교육 프로그램과 브랜드 사이트를 운영하고 있습니다. 고객의 요구에 맞춘 맞춤형 교육 솔루션을 통해 학습 효과를 극대화하는 데 중점을 두고 있습니다.",교육 콘텐츠|맞춤형 교육 솔루션,,,True,
대성전산,https://dsjs.co.kr,"대성전산㈜는 DM 발송, 우체국 전자우편, POD 교재제작 전문기업으로, 고객의 기대를 넘는 새로운 디자인 포지셔닝을 통해 가치를 창출합니다. 1986년 창립 이래 안전하고 신속한 서비스 제공을 목표로 하고 있습니다.",DM 발송|우체국 전자우편 제작,,,True,
대한상공회의소,https://www.korcham.net,"대한상공회의소는 기업과 상공업계의 발전을 위해 다양한 행사와 프로그램을 운영하며, 기업의 경쟁력 강화를 지원하는 기관입니다. 또한, 경제 및 산업 관련 정책을 제안하고, 회원사 간의 네트워킹을 촉진하는 역할을 합니다.",기업 지원 프로그램|경제 정책 제안,,,True,
더 프리미엄 마케팅,https://www.jobkorea.co.kr,,,,,True,
더그림엔터테인먼트,https://www.ptjcomics.kr,,,,,True,
더다올디앤씨,https://bizno.net,,,,,True,
더블유에이티원홀딩스,http://watone.co.kr,"더블유에이티원홀딩스는 광고 기획부터 랜딩페이지까지 전환 구조를 설계하며, 22명의 AI 에이전트가 300개 이상의 모델을 커스텀 조합하여 개발, 마케팅, 자동화를 실행합니다.",웹사이트 개발|디지털 마케팅|소프트웨어 개발|AI 서비스|업무 자동화|SMS API,,,True,
더솔트,https://thesalt-seoul.com,"더솔트는 우아한 일상 패션을 제공하는 브랜드로, 다양한 의류와 액세서리를 판매합니다. 고객의 스타일을 돋보이게 하는 고품질 제품을 중심으로 한 쇼핑 경험을 제공합니다.",의류|액세서리,,,True,
더웹스타일,http://www.thewebstyle.com,,,,,True,
덕아웃,https://dugoutmz.com,"덕아웃은 국내 유일의 야구 문화 잡지로, 프로야구, 고교야구, 대학야구, 생활 체육 야구 등 다양한 이야기를 다룹니다. 야구가 단순한 스포츠를 넘어 하나의 문화로 자리 잡을 수 있도록 하는 것이 목표입니다.",더그아웃 매거진|야구 관련 콘텐츠,,,True,
데이터디자인엔지니어링,http://datadesign.engineering,"DDE는 전 세계 조직을 위한 완전 데이터 기반 AI 솔루션 및 서비스를 제공합니다. 2014년 서울에서 설립되어 싱가포르, 룩셈부르크 등 여러 국가로 확장하였습니다.",데이터 기반 AI 솔루션|AI 맞춤형 서비스,,,True,
데이터시티위마켓,https://www.youtube.com,"YouTube는 사용자들이 콘텐츠를 공유하고 커뮤니티를 형성할 수 있도록 돕는 플랫폼입니다. 다양한 크리에이터들이 상품을 게시하고 추천하며, 판매자들의 약관에 따라 운영됩니다.",YouTube 플랫폼|크리에이터 광고,,,True,
데이터유니버스,https://www.datauniverse.co.kr,DataUniverse는 데이터와 관련된 다양한 서비스를 제공하는 기업입니다. ICT 분야에서 혁신적인 솔루션을 통해 글로벌 시장에서 경쟁력을 갖추고 있습니다.,데이터 분석 서비스|ICT 솔루션,,,True,
데일리페이,https://www.daily-pay.co.kr,데일리페이는 온라인 쇼핑몰 운영자들을 위한 선정산 서비스를 제공하는 기업입니다. 고객의 신용도에 영향을 주지 않으면서 빠르고 간편한 자금 지원을 통해 사업 성장을 돕고 있습니다.,선정산 서비스|휴대폰 본인 인증,,,True,
델레오코리아,https://www.deleo.co.kr,,,,,True,
도전하는사람들,http://www.dosanet.co.kr,도전하는사람들은 다양한 분야에서 혁신적인 아이디어를 통해 사람들의 삶을 변화시키는 것을 목표로 하고 있습니다. 우리는 창의적이고 도전적인 인재를 통해 사회에 긍정적인 영향을 미치고자 합니다.,혁신적인 아이디어|사회적 영향력,,,True,
동명기술공단종합건축사사무소,https://www.dmec.co.kr,,,,,False,페이지 크롤링 실패
동양정보서비스,http://www.dongyangis.com,"동양정보서비스는 Web & IT Solution 전문기업으로, 기업 IT환경 개선 및 질적 향상에 기여하고자 2001년 1월에 창업하였습니다. 고객의 니즈를 분석하여 효과적인 e-비즈니스 영역과 솔루션을 제안합니다.",웹사이트 구축|솔루션 개발,최고의 인재와 축적된 비즈니스 노하우를 바탕으로 고객밀착 서비스를 통해 성장해 나가는 인재,"동양정보서비스는 고객이 믿고 찾을 수 있는 IT 서비스 제공자로서, 고객사의 IT 경쟁력 강화를 위해 최선을 다하겠습니다.",True,
두아즈,null,"두아즈는 AI로 산업을 변화시키는 중이며, AI 솔루션을 사용하여 복잡한 산업 문서와 데이터를 효율적으로 분석하고 관리합니다. 수십 년간 쌓아온 산업 데이터들을 AI 기술을 통해 효율적으로 분석하고 관리할 수 있도록 돕습니다.",Geo AI 공간·건설 AI 솔루션|Inscanner 도면 보조단열재 누락 탐지,"강한 팀이 강한 기술을 이끌어냅니다. 각 분야의 전문가들과 두아즈의 뛰어난 실행력을 바탕으로, 전 세계로 확장되는 경쟁력을 만들어갑니다.",AI 기반 혁신을 통해 산업과 개인의 잠재력을 극대화 합니다.,True,
드림시스,www.dreamsys.kr,드림시스는 고주파 마사지기와 피부미용기기를 전문으로 하는 선도기업입니다. 뷰티디바이스 분야에서 다양한 제품을 제공하여 고객의 피부 관리와 다이어트를 지원합니다.,고주파 마사지기|초음파 다이어트기기,,,True,
디노블,https://www.dnoble.co.kr,"디노블은 고급 서비스를 제공하는 기업으로, 고객의 다양한 요구에 맞춘 맞춤형 서비스를 제공합니다. 고객의 만족을 최우선으로 하여 지속적인 서비스 개선에 힘쓰고 있습니다.",고급 서비스|맞춤형 서비스,,,True,
디노텍,http://www.dinnotek.com,"디노텍은 차별화된 프로세스를 바탕으로 신속하고 합리적인 보안 서비스를 제공하는 원스톱 솔루션을 제공합니다. 다양한 보안 분야에서 엔드포인트 보안, 클라우드 보안, 네트워크 보안 등 다양한 서비스를 제공합니다.",엔드포인트 보안|클라우드 보안|네트워크 보안|매니지드 서비스,,,True,
디더블유아이,https://www.dwni.co.kr,디더블유아이는 평범한 일상을 지키기 위해 다양한 솔루션을 제공하는 회사입니다. U•BIS SERIES를 통해 시설 관리와 환자 이송 관리 등 안전하고 효율적인 서비스를 제공합니다.,U•BIS MASTER|U•BIS HI|U•BIS Ecall|U•BIS A/S,,,True,
디딤,https://play-didim.com,"디딤은 디지털 체육 플랫폼으로, 운동의 본질에 충실한 다양한 제품과 서비스를 제공합니다. AI 운동 추천 및 개인별 운동 관리가 가능한 모바일 앱을 통해 사용자에게 맞춤형 운동 경험을 제공합니다.",디딤 미니|AI 운동 추천 모바일 앱,,,True,
디비아이엔씨,https://www.dbinc.co.kr,"DB Inc.는 IT, 무역, 인재개발원(교육) 등 다양한 사업분야에서 고객의 경쟁력 향상에 기여하고 있습니다. 안정적인 IT환경을 제공하며, 화학 및 철강 제품을 중심으로 수출입 업무를 진행하고 있습니다.",IT 서비스|무역사업,역량과 인성을 갖춘 인재를 모집합니다.,"DB Inc.는 최고의 전문 인력, 최적의 솔루션으로 고객의 지속가능한 성공을 돕습니다.",True,
디씨미디어,https://ssadafile.com,"디씨미디어는 다양한 콘텐츠를 제공하는 플랫폼으로, 영화, 드라마, 게임, 애니메이션 등 다양한 장르의 미디어를 이용할 수 있는 서비스를 제공합니다. 또한, 포인트 충전 및 정액제 서비스를 통해 사용자에게 편리한 이용 경험을 제공합니다.",싸다파일|K-AV,,,True,
디아이티,http://www.okdit.co.kr,"디아이티는 AI 솔루션, AOI 솔루션, AVI, MOLD, LASER 솔루션 등 다양한 기술을 통해 이미지 처리 및 광학 솔루션의 선두주자로 자리매김하고 있습니다. 고객에게 가치를 공유하며, 차세대 인공지능 플랫폼을 제공하는 것을 목표로 하고 있습니다.",AI 솔루션|AOI 솔루션|LASER 솔루션,,,True,
디에스아이텍,http://www.dsitec.co.kr,"디에스아이텍은 Framework 기반 SI 사업과 비즈니스 솔루션 파트너사로서 금융, 공공, 미디어 관련 Web, Mobile, SI, SM 분야의 최고 기술력과 인력을 보유한 전문 회사입니다. 고객의 가치 창출 및 국내 최고 수준의 정보기술 서비스 제공을 위해 노력하고 있습니다.",SI 사업|IT Outsourcing,우수한 인재를 확보하여 성공적인 결과를 만들고 있습니다.,고객과 성공을 함께하는 최고의 비즈니스 파트너가 되도록 노력하겠습니다.,True,
디에스이트레이드,http://www.ds-etrade.co.kr,"디에스이트레이드는 고객 비즈니스 환경을 고려하여 최선의 프로세스를 설계하고, 최적화된 시스템을 구축함으로써 고객의 경쟁력을 한 단계 더 향상시키는 Big Data, SCM 전문 컨설팅 및 시스템 구축 업체입니다.",Digital Transformation Consulting|BigData & Analysis Consulting Service,,,True,
디엑스앤브이엑스,https://www.dxvx.com,,,,,True,
디엑스티앤,http://www.dxtn.co.kr,디엑스티앤(DXT&)은 최고의 IT & Cloud 기술을 바탕으로 고객과 함께 행복한 세상을 만들어 갑니다. 혁신적인 기술력으로 미래 지향적 서비스를 구현하고 고객의 Needs에 부합하는 최적의 솔루션을 제공합니다.,DX Cloud SOLUTION|Tmax 통합보안 방화벽 정책 관리,도전과 열정을 가진 당신이 디엑스티앤의 미래입니다,,True,
디오티스,https://www.deotis.co.kr,"디오티스는 AI 기술을 기반으로 한 스마트 커뮤니케이션 솔루션을 제공하며, 고객과의 모든 접점에서 지능형 서비스를 경험할 수 있도록 혁신적인 컨택센터 솔루션을 개발하고 있습니다.",WISEPORTAL®|보이는ARS,,,True,
